,home,score
4802,South Africa,236.0
5823,England,230.0
4650,Essex,226.0
2190,Titans,224.0
1915,Somerset,220.0
316,Otago,220.0
6213,Warriors,217.0
905,Deccan Chargers,217.0
2514,Royal Challengers Bangalore,215.0
158,Lahore Eagles,215.0
5517,Delhi,214.0
4860,Easterns,212.0
1448,India,211.0
4457,Sunrisers Hyderabad,211.0
5642,Chilaw Marians Cricket Club,211.0
2001,Karachi Dolphins,210.0
81,Nottinghamshire,210.0
4140,Brisbane Heat,210.0
4817,Hobart Hurricanes,209.0
2986,Chennai Super Kings,208.0
756,South Africa,208.0
523,Victoria,206.0
2451,Leicestershire,206.0
4421,Chennai Super Kings,206.0
975,Sussex,205.0
5804,South Africa,205.0
2644,Auckland,205.0
4979,Colombo Cricket Club,205.0
2515,Royal Challengers Bangalore,204.0
1728,Kolkata Knight Riders,204.0
1701,Royal Challengers Bangalore,204.0
5750,Lahore Qalandars,203.0
143,Titans,203.0
4108,Auckland,202.0
346,Lahore Lions,202.0
2684,New Zealand,202.0
3961,India,202.0
4649,Yorkshire,201.0
4478,Kolkata Knight Riders,200.0
1855,Somerset,200.0
5943,Kent,200.0
440,Worcestershire,200.0
3390,Northern Districts,200.0
5383,India,200.0
5690,Australia,200.0
6020,Worcestershire,200.0
6045,Middlesex,200.0
4643,Durham,199.0
4654,Nottinghamshire,198.0
5343,Abbottabad Region,198.0
4178,Titans,198.0
4106,Wellington,198.0
204,Yorkshire,198.0
3463,Rangpur Riders,198.0
2527,Namibia,198.0
5949,Northamptonshire,197.0
1780,Australia,197.0
3567,Delhi,197.0
2993,Rajasthan Royals,197.0
14,Glamorgan,197.0
5865,Rising Pune Supergiants,196.0
5839,India,196.0
1748,Kings XI Punjab,195.0
4474,Mumbai Indians,195.0
4542,Essex,195.0
5875,Royal Challengers Bangalore,195.0
4520,Guyana Amazon Warriors,194.0
3034,Kings XI Punjab,194.0
5273,Yorkshire,194.0
78,Somerset,194.0
3737,Kings XI Punjab,194.0
4425,Rajasthan Royals,193.0
3028,Deccan Chargers,193.0
4313,Ireland,193.0
4596,Derbyshire,193.0
1832,Nottinghamshire,193.0
4567,Kent,193.0
2712,Barisal Burners,193.0
2203,Kings XI Punjab,193.0
3674,Namibia,192.0
5911,Trinbago Knight Riders,192.0
1834,Essex,192.0
5851,Royal Challengers Bangalore,192.0
2656,Melbourne Renegades,192.0
3819,Somerset,192.0
3049,Kolkata Knight Riders,192.0
4620,Northamptonshire,192.0
3392,Auckland,191.0
5387,Zimbabwe,191.0
334,Lions,191.0
4453,Royal Challengers Bangalore,191.0
3878,Worcestershire,191.0
420,Somerset,191.0
443,Glamorgan,191.0
222,Somerset,191.0
4323,England,190.0
1330,Somerset,190.0
1705,Delhi Daredevils,190.0
576,Eagles,190.0
2210,Pune Warriors,190.0
4958,Sinhalese Sports Club,190.0
5321,Hyderabad Region,190.0
4083,Bangladesh,190.0
5670,Brisbane Heat,189.0
2802,Goa,189.0
1261,Chennai Super Kings,189.0
4468,Chennai Super Kings,189.0
3836,Worcestershire,189.0
5870,Royal Challengers Bangalore,189.0
407,Surrey,189.0
2635,Canterbury,189.0
2630,Canterbury,189.0
5020,Mumbai Indians,189.0
787,Western Australia,189.0
5970,Somerset,189.0
2724,Barisal Burners,189.0
1164,Otago,189.0
2126,Madhya Pradesh,188.0
2646,Northern Districts,188.0
3676,Namibia,188.0
1885,Essex,188.0
6009,Worcestershire,188.0
1154,Central Districts,188.0
3552,Kerala,188.0
2,Somerset,188.0
1488,Otago,188.0
924,Delhi Daredevils,188.0
5243,Gloucestershire,188.0
5467,Rangpur Riders,188.0
2484,Namibia,188.0
1941,Sussex,188.0
4300,North West,188.0
5845,Kolkata Knight Riders,188.0
1922,Middlesex,188.0
2363,Warwickshire,187.0
4603,Middlesex,187.0
3372,Jamaica,187.0
3940,Chennai Super Kings,187.0
791,Western Australia,187.0
5222,Kent,187.0
3715,Kings XI Punjab,186.0
5210,Yorkshire,186.0
7,Yorkshire,186.0
3716,Chennai Super Kings,186.0
5888,Kolkata Knight Riders,186.0
4706,Cape Cobras,186.0
6161,Comilla Victorians,186.0
405,Glamorgan,186.0
5634,Sinhalese Sports Club,186.0
815,Northern Districts,186.0
1734,Royal Challengers Bangalore,186.0
